Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40
-5.246224e+02,-5.246224e+02,-5.246224e+02,-5.246224e+02,-5.246224e+02,-5.246224e+02,-5.246224e+02,-5.246224e+02,-5.246224e+02,-5.246224e+02,-5.246224e+02,-5.246224e+02,-5.214786e+02,-4.759960e+02,-4.334620e+02,-3.924501e+02,-3.570046e+02,-3.409248e+02,-3.347019e+02,-2.715466e+02,-2.219756e+02,-1.992086e+02,-1.245833e+02,-5.851778e+01,-5.001562e+01,-8.845931e+01,-1.265054e+02,-1.859174e+02,-2.511846e+02,-3.179251e+02,-3.735389e+02,-4.136227e+02,-4.581385e+02,-4.983088e+02,-5.189227e+02,-5.246224e+02,-5.246224e+02,-5.246224e+02,-5.246224e+02,-5.246224e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.352671e+00,6.290596e+01,1.064871e+02,1.365015e+02,1.575813e+02,1.633119e+02,1.636564e+02,1.240268e+02,9.424659e+01,8.450298e+01,9.167513e+01,1.094154e+02,1.515073e+02,2.013162e+02,2.193744e+02,2.245790e+02,2.142242e+02,1.878047e+02,1.529986e+02,1.202054e+02,7.696323e+01,3.334812e+01,7.842114e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.076983e+00,4.734792e+01,5.679826e+01,4.199168e+01,3.169067e+01,2.623599e+01,2.270063e+01,-1.575824e+01,-5.249191e+01,-7.297493e+01,-9.364285e+01,-9.922536e+01,-9.973389e+01,-1.177554e+02,-1.023430e+02,-7.018935e+01,-3.200064e+01,5.003725e+00,3.072482e+01,4.156855e+01,3.834483e+01,2.400393e+01,7.209329e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.631398e+00,2.715500e+01,1.254628e+01,-1.573115e+01,-2.476270e+01,-2.526066e+01,-2.473079e+01,2.719376e+01,5.837293e+01,6.814851e+01,3.075736e+01,-1.579952e+01,-4.956451e+01,-5.573180e+01,-6.119623e+01,-7.572878e+01,-8.480688e+01,-7.389800e+01,-4.629363e+01,-1.758162e+01,4.405938e+00,1.418061e+01,6.226501e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.036042e+00,7.990153e+00,-9.148612e+00,-2.263350e+01,-2.752811e+01,-3.175949e+01,-3.283041e+01,-4.737098e+01,-5.578114e+01,-6.046890e+01,-3.848900e+01,-2.865215e+01,-3.537234e+01,-5.106926e+01,-5.109672e+01,-4.571319e+01,-4.784938e+01,-4.674990e+01,-4.173616e+01,-2.686330e+01,-7.695960e+00,7.897970e+00,4.987356e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.317713e+00,-6.256497e+00,-1.312788e+01,-6.513238e+00,-5.106615e+00,-6.745040e+00,-8.146410e+00,-6.299171e+00,-1.087535e+01,-2.272570e+01,-3.124180e+01,-2.435789e+01,-1.722212e+01,-1.602497e+01,-1.697156e+01,-1.981892e+01,-1.320546e+01,-3.861777e+00,-4.721162e+00,-6.105670e+00,-1.754579e+00,5.643997e+00,3.598741e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.508606e+00,-1.451402e+01,-1.300996e+01,-3.345153e+00,1.462713e+00,3.742877e+00,4.087964e-01,1.999444e+00,-1.626815e+00,-3.424159e+00,-1.916335e+01,-2.327184e+01,-2.614589e+01,-1.387217e+01,-1.750630e+00,8.912268e+00,1.029920e+01,6.430686e+00,1.006688e+01,8.570648e+00,6.043070e+00,4.918270e+00,2.163668e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.447506e-01,-1.796477e+01,-1.549391e+01,-1.901699e+01,-2.094690e+01,-2.180547e+01,-2.554511e+01,-3.779261e+01,-3.911941e+01,-3.426456e+01,-1.342609e+01,-6.007947e+00,-7.175695e+00,-1.852085e+01,-1.781450e+01,-6.549951e+00,-2.038417e+00,-9.636045e+00,-1.948980e+00,3.275530e+00,4.537880e+00,2.971400e+00,7.676853e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.357066e-01,-1.859452e+01,-1.839226e+01,-2.387266e+01,-2.784100e+01,-2.968341e+01,-2.915678e+01,-1.895017e+01,-1.054483e+01,-1.151287e+01,-8.619467e+00,-9.860802e+00,-1.212798e+01,-1.695860e+01,-2.156169e+01,-2.726675e+01,-2.596460e+01,-1.998874e+01,-1.538380e+01,-1.043110e+01,-4.327075e+00,-8.768351e-01,-5.285427e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.094299e+00,-1.793213e+01,-2.057469e+01,-1.692771e+01,-1.507793e+01,-1.225384e+01,-9.251797e+00,-5.074062e+00,1.712074e+00,-2.949158e+00,1.046231e+01,2.055018e+01,2.176097e+01,3.902418e+00,-1.489509e+01,-1.595597e+01,-1.383386e+01,-1.082041e+01,-1.681542e+01,-1.765059e+01,-1.208340e+01,-5.165153e+00,-1.689547e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.894046e+00,-1.662840e+01,-2.220012e+01,-1.964101e+01,-1.703545e+01,-1.316219e+01,-1.384350e+01,-8.854719e+00,-3.725657e+00,-1.304805e+00,-8.404576e+00,-6.702792e+00,-4.122888e+00,8.446898e+00,1.247908e+01,1.046725e+01,4.195354e+00,-4.920823e+00,-1.262293e+01,-1.586355e+01,-1.437411e+01,-8.040487e+00,-2.699342e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.601170e+00,-1.479671e+01,-1.982090e+01,-2.313918e+01,-2.166233e+01,-2.332222e+01,-2.696476e+01,-2.569983e+01,-2.661752e+01,-2.225240e+01,-1.339156e+01,-9.512634e+00,-1.679049e+01,-2.295432e+01,-1.940514e+01,-1.070870e+01,-1.373623e+01,-1.291007e+01,-1.101732e+01,-1.216209e+01,-1.360547e+01,-8.941139e+00,-3.552328e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.186617e+00,-1.258246e+01,-1.294428e+01,-1.760771e+01,-1.428238e+01,-1.474533e+01,-1.180080e+01,-5.615785e+00,-1.583631e+00,6.923611e+00,1.851243e+00,-5.460349e+00,-1.536748e+01,-2.406936e+01,-2.703263e+01,-2.187740e+01,-1.884818e+01,-1.482610e+01,-1.240083e+01,-1.246673e+01,-1.336473e+01,-8.805294e+00,-4.244276e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
