Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37
-5.615129e+02,-5.615129e+02,-5.615129e+02,-5.615129e+02,-5.615129e+02,-5.615129e+02,-5.615129e+02,-5.615129e+02,-5.516837e+02,-5.285880e+02,-5.147959e+02,-4.977877e+02,-4.500256e+02,-3.831081e+02,-3.632947e+02,-3.461505e+02,-2.771812e+02,-1.966209e+02,-1.591840e+02,-1.290025e+02,-1.117367e+02,-1.191432e+02,-1.095173e+02,-1.242569e+02,-1.458791e+02,-1.879033e+02,-2.482686e+02,-3.307013e+02,-4.068889e+02,-4.603369e+02,-5.054293e+02,-5.466958e+02,-5.613129e+02,-5.615129e+02,-5.615129e+02,-5.615129e+02,-5.615129e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.360980e+01,4.465537e+01,6.228611e+01,8.140340e+01,1.115139e+02,1.400023e+02,1.388473e+02,1.277534e+02,1.284358e+02,1.524019e+02,1.828312e+02,1.769014e+02,1.537220e+02,1.722785e+02,1.962236e+02,2.143949e+02,2.342458e+02,2.372154e+02,2.219592e+02,1.981383e+02,1.606107e+02,1.146179e+02,6.904497e+01,1.980871e+01,2.793046e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.275202e+01,3.918232e+01,5.171516e+01,6.080231e+01,3.778890e+01,-1.594521e+00,-1.519917e+01,-2.942895e+01,-5.320456e+01,-5.685963e+01,-6.584325e+01,-5.949858e+01,-6.963597e+01,-7.214484e+01,-7.842857e+01,-8.077331e+01,-7.566011e+01,-6.166940e+01,-3.359137e+01,8.820000e+00,4.235044e+01,5.178873e+01,4.446880e+01,1.666487e+01,2.686177e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.137013e+01,3.084930e+01,3.646922e+01,3.783363e+01,1.628103e+01,6.867968e+00,1.642069e+01,2.701202e+01,-2.248258e+00,-1.424626e+00,-1.046782e+01,-4.634010e+01,-5.455801e+01,-7.153485e+01,-7.707370e+01,-6.592227e+01,-5.844836e+01,-5.409877e+01,-5.576668e+01,-5.846256e+01,-3.591959e+01,5.580102e-02,1.908444e+01,1.229322e+01,2.511106e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.532640e+00,2.070177e+01,1.944145e+01,1.673575e+01,2.107619e+01,2.852103e+01,2.598640e+01,1.625574e+01,-9.680543e+00,-2.436444e+01,-3.265957e+01,-3.390440e+01,-2.889212e+01,-4.454202e+01,-5.758234e+01,-6.264246e+01,-6.254123e+01,-5.616984e+01,-5.762881e+01,-5.318485e+01,-3.750056e+01,-1.468368e+01,3.099943e+00,7.661644e+00,2.272226e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.329357e+00,9.955294e+00,3.564603e+00,-8.922366e-01,5.241240e+00,-1.096500e+01,-2.256443e+01,-2.828583e+01,-1.909705e+01,-2.899170e+01,-3.122298e+01,-1.571165e+01,-1.512982e+00,-9.658452e+00,-2.067679e+01,-2.545556e+01,-2.104889e+01,-2.697640e+01,-2.907390e+01,-1.445853e+01,-5.390386e+00,-4.030022e+00,-2.657781e+00,3.620800e+00,1.975686e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.866039e+00,-1.949666e-01,-8.884168e+00,-1.074183e+01,-9.174587e+00,-1.728162e+01,-1.816375e+01,-1.637336e+01,-2.241205e+00,-2.389351e+01,-3.541210e+01,-3.227869e+01,-2.346342e+01,-2.029625e+01,-1.854115e+01,-1.826258e+01,-1.148836e+01,-2.708553e-01,6.760644e+00,6.124274e+00,5.456618e+00,4.107920e+00,-3.794484e+00,6.862784e-01,1.628938e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.258147e+00,-8.750986e+00,-1.673789e+01,-1.065441e+01,1.926641e+00,6.293119e+00,-1.643083e+00,-7.815849e+00,3.806075e+00,-1.373945e+01,-2.380266e+01,-2.752671e+01,-2.538064e+01,-1.913891e+01,-1.834535e+01,-2.922369e+01,-3.561114e+01,-3.638769e+01,-2.865691e+01,-2.177293e+01,-1.260464e+01,-2.675943e+00,-5.023189e+00,-1.017103e+00,1.240833e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.756066e-01,-1.504406e+01,-2.004506e+01,-6.615059e+00,1.084691e+01,4.283208e+00,-2.533790e+00,-2.229111e+00,-3.404655e+00,-1.467885e+01,-1.605965e+01,-2.621106e+01,-2.781257e+01,-3.105073e+01,-3.568571e+01,-4.014555e+01,-4.262025e+01,-4.581321e+01,-4.664662e+01,-3.861961e+01,-2.828828e+01,-1.382018e+01,-6.454023e+00,-1.674485e+00,8.211817e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.919587e+00,-1.880219e+01,-1.983411e+01,-6.367723e+00,-1.538741e+00,-4.703088e+00,-8.081667e+00,-1.783994e+01,-2.152174e+01,-1.955010e+01,-1.525151e+01,-4.112437e+00,1.132731e+00,3.026896e+00,1.307730e+00,-1.630081e+00,-8.971365e+00,-1.569914e+01,-1.595813e+01,-1.595260e+01,-2.138445e+01,-1.489628e+01,-6.140645e+00,-1.645239e+00,3.807256e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.266929e+00,-2.014581e+01,-1.764929e+01,-9.786726e+00,-1.287426e+01,-9.155068e+00,-2.347173e+01,-3.130336e+01,-3.795826e+01,-3.800757e+01,-2.890171e+01,-1.808835e+01,-1.522082e+01,-1.038043e+01,-4.787336e+00,-5.396008e-01,8.586380e+00,4.150372e+00,-2.680815e-01,-1.382803e+00,-3.252968e+00,-6.140114e+00,-4.308879e+00,-1.347460e+00,-6.942689e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.324387e+00,-1.951894e+01,-1.502743e+01,-1.194813e+01,-9.603827e+00,-1.548321e+01,-2.133552e+01,-1.148184e+01,-9.823797e+00,-5.296537e+00,-5.681562e+00,-1.440004e+01,-1.212343e+01,-8.040031e+00,-6.851313e+00,-9.659585e+00,-9.974432e+00,-7.569428e+00,-9.328214e+00,-6.833830e+00,6.000339e+00,2.118281e-01,-3.724626e+00,-1.186660e+00,-5.178136e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-9.016039e+00,-1.757438e+01,-1.308115e+01,-1.231913e+01,-8.734110e+00,-1.383386e+01,-9.622614e+00,-1.101843e+01,-1.159361e+01,-7.652919e+00,-7.617385e+00,-9.751791e+00,-9.968639e+00,-1.826711e+01,-1.939468e+01,-1.534653e+01,-7.883469e+00,-2.920660e+00,-2.271789e+00,2.475154e+00,-2.879218e-01,-3.920117e+00,-6.194035e+00,-1.502651e+00,-9.530450e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
