Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36
-4.733341e+02,-4.674636e+02,-4.685435e+02,-4.702339e+02,-4.659384e+02,-2.514465e+02,-1.250425e+02,-9.785793e+01,-1.096262e+02,-1.207499e+02,-1.387956e+02,-1.404675e+02,-1.389422e+02,-1.296263e+02,-1.197458e+02,-1.082130e+02,-1.166031e+02,-1.243220e+02,-1.104764e+02,-9.334001e+01,-8.142057e+01,-6.784937e+01,-6.459499e+01,-4.525381e+01,-4.616623e+01,-9.355269e+01,-1.615060e+02,-1.739742e+02,-2.282361e+02,-3.262499e+02,-3.972627e+02,-4.383807e+02,-4.576585e+02,-4.650268e+02,-4.691991e+02,-4.680687e+02
1.281732e+01,2.031104e+01,1.901284e+01,1.649518e+01,2.127335e+01,1.055709e+02,9.545178e+01,7.760303e+01,5.818390e+01,5.328290e+01,5.708762e+01,5.383256e+01,4.971202e+01,5.307816e+01,6.033324e+01,6.202024e+01,5.968272e+01,5.647168e+01,5.039969e+01,4.463845e+01,4.064306e+01,3.732179e+01,3.228718e+01,4.289152e+01,5.379372e+01,6.717552e+01,8.245070e+01,9.410184e+01,1.174417e+02,1.210720e+02,7.568128e+01,4.175571e+01,2.688011e+01,2.084498e+01,1.767256e+01,1.943242e+01
1.241058e+01,1.799354e+01,1.730329e+01,1.465279e+01,1.618840e+01,1.033378e+01,-1.019470e+01,-2.069441e+01,-2.732830e+01,-1.927310e+01,-1.263228e+01,-2.063719e+01,-2.514844e+01,-2.605958e+01,-2.898132e+01,-3.394592e+01,-3.457989e+01,-3.136416e+01,-4.008144e+01,-4.671783e+01,-5.004479e+01,-6.047880e+01,-6.531327e+01,-8.016051e+01,-8.637122e+01,-7.338347e+01,-5.336962e+01,-5.827865e+01,-5.256744e+01,-2.367232e+01,-4.887907e+00,7.371485e-01,1.027689e+01,1.293367e+01,1.517304e+01,1.722503e+01
1.175056e+01,1.539377e+01,1.542926e+01,1.308315e+01,1.099786e+01,-5.879195e+00,-1.295469e+01,-2.278027e+01,-3.692974e+01,-3.972575e+01,-4.651698e+01,-5.280070e+01,-5.452216e+01,-5.558044e+01,-5.468485e+01,-5.407360e+01,-5.736398e+01,-5.195147e+01,-4.970496e+01,-4.752068e+01,-4.096052e+01,-3.686675e+01,-3.108796e+01,-3.262518e+01,-3.329502e+01,-3.494368e+01,-4.222026e+01,-4.155754e+01,-5.012337e+01,-4.984852e+01,-3.603367e+01,-2.157059e+01,7.909037e-01,8.017184e+00,1.302309e+01,1.508135e+01
1.086307e+01,1.327554e+01,1.375398e+01,1.222547e+01,7.756095e+00,-4.418085e+01,-4.785870e+01,-3.273550e+01,-1.151074e+01,-1.484454e+00,5.522499e+00,4.684100e+00,5.196285e+00,7.407608e+00,5.042007e+00,8.821539e+00,1.130372e+01,1.205495e+01,9.386354e+00,6.184631e+00,4.593859e+00,1.779182e+00,1.784830e+00,-2.125283e+00,-9.807446e+00,-7.287121e+00,2.079877e+00,3.516605e+00,1.022274e+01,2.436317e+00,-1.104023e+01,-9.906879e+00,4.895646e+00,9.175975e+00,1.201185e+01,1.351814e+01
9.782221e+00,1.168040e+01,1.202209e+01,1.135828e+01,6.579074e+00,-2.204005e+01,-8.037468e+00,6.009008e+00,2.812498e+01,3.916118e+01,4.249007e+01,4.655014e+01,4.547248e+01,4.616015e+01,4.495967e+01,4.298698e+01,4.409896e+01,5.083315e+01,5.151893e+01,5.042915e+01,5.153269e+01,5.246371e+01,5.648651e+01,5.499019e+01,5.637940e+01,5.817686e+01,5.867528e+01,6.040611e+01,4.742242e+01,2.504910e+01,1.494794e+01,1.541934e+01,1.469842e+01,1.289731e+01,1.139725e+01,1.195498e+01
8.548664e+00,1.027390e+01,1.000510e+01,9.688471e+00,6.395859e+00,-1.377990e+01,-2.658412e+01,-2.667652e+01,-2.304433e+01,-2.575872e+01,-2.352714e+01,-2.309201e+01,-2.454613e+01,-2.167448e+01,-2.320275e+01,-2.414202e+01,-2.718810e+01,-2.227595e+01,-2.210145e+01,-2.653849e+01,-2.461207e+01,-2.245013e+01,-2.793685e+01,-3.178978e+01,-2.703998e+01,-2.747959e+01,-2.819643e+01,-2.791457e+01,-1.803105e+01,3.192059e+00,1.386142e+01,2.597189e+01,1.824337e+01,1.359427e+01,9.985339e+00,9.695078e+00
7.207400e+00,8.835979e+00,8.003915e+00,7.443523e+00,6.304335e+00,1.454039e+01,3.085991e+01,3.460892e+01,3.561765e+01,3.141930e+01,3.421696e+01,3.468748e+01,3.428659e+01,3.564986e+01,3.368314e+01,3.016722e+01,2.423398e+01,2.979959e+01,3.231149e+01,2.985368e+01,3.047803e+01,3.433779e+01,3.376132e+01,3.330572e+01,3.348951e+01,3.017654e+01,3.151611e+01,2.184637e+01,1.088385e+01,-2.239365e+00,2.878159e+00,1.510294e+01,1.226675e+01,9.663408e+00,7.492357e+00,6.832385e+00
5.805494e+00,7.324821e+00,6.520794e+00,5.609499e+00,5.991465e+00,-1.495254e+01,-2.000043e+01,-9.628332e+00,-5.464971e-02,-3.047729e+00,2.285248e+00,1.603099e+00,-3.881365e+00,-6.003744e+00,-6.761540e+00,-5.874228e+00,-6.820599e+00,-5.724649e+00,-6.204819e+00,-1.087931e+01,-1.271033e+01,-9.441298e+00,-1.137020e+01,-1.594358e+01,-2.167225e+01,-2.961528e+01,-2.899795e+01,-3.055577e+01,-2.252700e+01,-9.235672e+00,-3.139671e+00,-1.808039e+00,3.483686e+00,4.465630e+00,4.685628e+00,4.043426e+00
4.389759e+00,5.662774e+00,5.579400e+00,4.698165e+00,5.235670e+00,7.390141e+00,1.060776e+01,8.810523e+00,3.557531e+00,4.146214e+00,9.314070e+00,1.107326e+01,1.149540e+01,1.034508e+01,1.099607e+01,7.275007e+00,6.888950e+00,7.102558e+00,7.299101e+00,7.142253e+00,9.426906e+00,1.097185e+01,5.664901e+00,-2.919206e+00,-9.835888e+00,-1.441290e+01,-1.805279e+01,-2.695070e+01,-2.966253e+01,-2.233932e+01,-7.097176e+00,-8.867023e+00,-5.108594e-01,2.015749e+00,2.420560e+00,1.790493e+00
3.004502e+00,3.747766e+00,4.652391e+00,4.132153e+00,3.656348e+00,2.576285e+01,1.822005e+01,6.682493e+00,-1.084754e+01,-1.614317e+01,-2.049056e+01,-2.339713e+01,-2.348643e+01,-2.343342e+01,-2.342770e+01,-2.408413e+01,-2.600958e+01,-2.474538e+01,-2.222920e+01,-2.257212e+01,-2.544982e+01,-2.705363e+01,-2.981075e+01,-3.225989e+01,-2.916283e+01,-2.194860e+01,-1.002118e+01,-7.597198e+00,-1.229527e+01,-1.572546e+01,-7.200858e+00,-4.168656e+00,1.261268e+00,2.849530e+00,8.903711e-01,5.267461e-02
1.689602e+00,1.734865e+00,3.318211e+00,3.009748e+00,1.227681e+00,7.163279e+00,9.121395e+00,6.777098e+00,1.721651e+00,3.960708e+00,4.670414e+00,2.829679e+00,1.042629e+00,-1.380190e+00,-2.276876e+00,-3.249388e+00,-6.015321e+00,-7.497187e+00,-4.651371e+00,-3.413943e+00,-2.937243e-01,1.742720e+00,-4.267759e+00,7.139055e-01,1.386963e+01,2.119847e+01,2.240512e+01,1.286099e+01,1.784119e+00,3.278208e+00,2.939106e+00,4.234267e+00,4.443038e+00,4.304774e+00,-1.749885e-01,-1.293867e+00
4.788846e-01,9.683156e-02,1.772846e+00,1.248968e+00,-1.254305e+00,-2.528078e+01,-3.355207e+01,-3.617555e+01,-3.085647e+01,-2.110358e+01,-1.475176e+01,-1.345181e+01,-1.506209e+01,-1.551559e+01,-1.468972e+01,-1.391858e+01,-1.385996e+01,-1.633645e+01,-1.304973e+01,-1.221432e+01,-1.564063e+01,-1.512103e+01,-1.328655e+01,6.859555e+00,3.012965e+01,4.125706e+01,4.238823e+01,4.055616e+01,2.808588e+01,1.974244e+01,1.542138e+01,8.827785e+00,5.185894e+00,3.910069e+00,-9.517792e-01,-2.250499e+00
